Address1,Addess2,Address3,Post_Code,Ward Code,Property_Type_Code,Commencement_Date,Number of Expressions of Interest
104 FARRAR LANE,HOLT PARK,LEEDS,LS16 7JW,AW,C2S1BF,24-FEB-2014,25
104 HEIGHTS DRIVE,ARMLEY,LEEDS,LS12 3TF,FW,1BF,27-JAN-2014,60
104 LATCHMERE VIEW,WEST PARK,LEEDS,LS16 5DT,KI,1/2BF,17-MAR-2014,29
104 LOW GRANGE CRESCENT,BELLE ISLE,LEEDS,LS10 3EA,MI,2BH,22-SEP-2014,17
104 RAYNEL DRIVE,IRELAND WOOD,LEEDS,LS16 6BL,WE,1BF,24-NOV-2014,105
104 ROOKWOOD ROAD,OSMONDTHORPE,LEEDS,LS9 0LY,BR,3BH,07-APR-2014,63
104 TONG ROAD,ARMLEY,LEEDS,LS12 1LZ,AM,1/2BF,10-MAR-2014,67
104 WESTON DRIVE,WESTON ESTATE,OTLEY,LS21 2DG,OY,1BF,10-MAR-2014,45
105 BROADLEA ROAD,BRAMLEY,LEEDS,LS13 2SA,BS,2BH,12-MAY-2014,42
105 RAYLANDS WAY,BELLE ISLE,LEEDS,LS10 4AH,MI,3BH,03-FEB-2014,109
105 SAXON MOUNT,MOORTOWN,LEEDS,LS17 5DT,AL,2BF,07-APR-2014,1
105 WINROSE APPROACH,BELLE ISLE,LEEDS,LS10 3QF,MI,1BF,19-MAY-2014,106
106 HEIGHTS DRIVE,ARMLEY,LEEDS,LS12 3TF,FW,1BF,24-MAR-2014,77
106 MIDDLETON ROAD,BELLE ISLE,LEEDS,LS10 3DS,MI,2BH,07-APR-2014,135
106 THROSTLE ROAD,MIDDLETON,LEEDS,LS10 4HH,MI,2BH,27-OCT-2014,119
106 WEST PARK DRIVE EAST,ROUNDHAY,LEEDS,LS8 2EF,RO,2BF,13-OCT-2014,53
107 IVESON DRIVE,IRELAND WOOD,LEEDS,LS16 6NJ,WE,1BF,30-JUN-2014,108
107 MANOR CRESCENT,ROTHWELL,LEEDS,LS26 0QS,RL,2BF,28-JUL-2014,53
107 ROOKWOOD AVENUE,OSMONDTHORPE,LEEDS,LS9 0NN,BR,3BH,03-MAR-2014,71
107 SEACROFT GATE,SEACROFT,LEEDS,LS14 6LW,KS,2BMSF,11-AUG-2014,20
107 TOWN STREET,ARMLEY,LEEDS,LS12 3HD,AM,1BF,11-AUG-2014,117
